order_id,client_id,service_id,gift_id,gift_cost,total_gifts,total_amount,fee,variable_cost,total_revenue,month,year,date
11110,419,1,16,1289.54,13,16764,3352.8,4326,20116.8,3,2018,3-2018
11111,503,3,21,235.66,50,11783,2356.6,5976,14139.6,10,2019,10-2019
11112,395,2,23,211.97,71,15050,3010,4836,18060,3,2019,3-2019
11113,292,1,22,445.24,38,16919,3383.8,6144,20302.8,6,2019,6-2019
11114,408,1,14,1247.91,11,13727,2745.4,5632,16472.4,4,2018,4-2018
11115,204,2,17,720.29,24,17287,3457.4,6002,20744.4,10,2018,10-2018
11116,401,1,24,1116.27,15,16744,3348.8,4934,20092.8,7,2018,7-2018
11117,207,3,17,260.98,40,10439,2087.8,5544,12526.8,8,2019,8-2019
11118,481,3,16,162.03,63,10208,2041.6,5148,12249.6,9,2019,9-2019
11119,274,2,18,149.58,76,11368,2273.6,5563,13641.6,8,2018,8-2018
11120,502,3,23,624.22,27,16854,3370.8,6546,20224.8,11,2019,11-2019
11121,148,1,18,324.02,50,16201,3240.2,4360,19441.2,11,2018,11-2018
11122,178,2,19,439.67,36,15828,3165.6,6832,18993.6,3,2019,3-2019
11123,276,2,13,308.3,50,15415,3083,6660,18498,4,2018,4-2018
11124,393,3,27,243.32,68,16546,3309.2,5194,19855.2,10,2018,10-2018
11125,434,3,23,455.26,31,14113,2822.6,5349,16935.6,4,2019,4-2019
11126,191,3,12,223.42,64,14299,2859.8,6134,17158.8,11,2018,11-2018
11127,260,1,13,366.33,48,17584,3516.8,6834,21100.8,3,2018,3-2018
11128,452,1,13,376.51,51,19202,3840.4,5458,23042.4,12,2018,12-2018
11129,526,2,11,339.42,53,17989,3597.8,4534,21586.8,7,2019,7-2019
11130,509,3,22,250.81,58,14547,2909.4,4488,17456.4,5,2018,5-2018
11131,328,2,16,186.95,64,11965,2393,5599,14358,12,2018,12-2018
11132,192,1,12,385,50,19250,3850,6862,23100,9,2018,9-2018
11133,180,2,12,145.23,75,10892,2178.4,4043,13070.4,10,2018,10-2018
11134,499,3,22,340.07,58,19724,3944.8,4007,23668.8,7,2018,7-2018
11135,490,2,16,378.26,50,18913,3782.6,5973,22695.6,5,2018,5-2018
11136,438,1,13,345.23,44,15190,3038,6865,18228,7,2019,7-2019
11137,170,3,15,480.52,31,14896,2979.2,5583,17875.2,10,2018,10-2018
11138,289,2,24,1367.69,13,17780,3556,5492,21336,3,2019,3-2019
11139,197,2,16,246.78,41,10118,2023.6,6927,12141.6,5,2018,5-2018
11140,186,1,23,238.43,79,18836,3767.2,5153,22603.2,1,2018,1-2018
11141,265,1,15,169.87,63,10702,2140.4,6316,12842.4,4,2018,4-2018
11142,300,3,20,267.04,53,14153,2830.6,6484,16983.6,12,2018,12-2018
11143,286,2,18,761.53,15,11423,2284.6,6653,13707.6,10,2019,10-2019
11144,122,1,11,312.44,39,12185,2437,4309,14622,6,2018,6-2018
11145,138,2,12,506.14,29,14678,2935.6,4344,17613.6,7,2019,7-2019
11146,400,3,25,416.07,42,17475,3495,6944,20970,8,2018,8-2018
11147,382,1,18,560.41,29,16252,3250.4,6441,19502.4,7,2019,7-2019
11148,401,2,18,331.44,34,11269,2253.8,6507,13522.8,12,2018,12-2018
11149,477,2,13,214.91,53,11390,2278,4848,13668,6,2018,6-2018
11150,141,3,11,382.8,50,19140,3828,6041,22968,10,2018,10-2018
11151,399,2,12,232.91,79,18400,3680,6061,22080,7,2018,7-2018
11152,467,2,22,350.3,56,19617,3923.4,5828,23540.4,2,2019,2-2019
11153,290,1,25,264.62,65,17200,3440,5921,20640,2,2019,2-2019
11154,319,2,17,509.38,32,16300,3260,4286,19560,12,2019,12-2019
11155,448,2,22,482.56,32,15442,3088.4,6531,18530.4,5,2018,5-2018
11156,279,1,13,407.07,42,17097,3419.4,6715,20516.4,8,2019,8-2019
11157,311,1,15,387.58,50,19379,3875.8,5924,23254.8,12,2018,12-2018
11158,134,1,16,141.94,78,11071,2214.2,4685,13285.2,4,2018,4-2018
11159,204,2,20,281.92,50,14096,2819.2,5735,16915.2,10,2019,10-2019
11160,210,3,23,415.87,38,15803,3160.6,6768,18963.6,5,2018,5-2018
11161,495,2,22,322.98,46,14857,2971.4,5529,17828.4,6,2019,6-2019
11162,299,1,20,1680.45,11,18485,3697,6902,22182,10,2019,10-2019
11163,479,3,16,517.68,38,19672,3934.4,5598,23606.4,6,2018,6-2018
11164,254,2,27,188.65,78,14715,2943,4526,17658,3,2019,3-2019
11165,241,2,25,161.47,78,12595,2519,5791,15114,7,2019,7-2019
11166,502,2,24,353.72,43,15210,3042,5063,18252,1,2018,1-2018
11167,464,3,22,163.36,74,12089,2417.8,5413,14506.8,5,2018,5-2018
11168,430,1,19,822.74,19,15632,3126.4,4178,18758.4,4,2018,4-2018
11169,281,3,18,227.97,62,14134,2826.8,4009,16960.8,12,2018,12-2018
11170,277,2,15,244.67,78,19084,3816.8,4927,22900.8,5,2019,5-2019
11171,114,3,26,246.54,71,17504,3500.8,6778,21004.8,1,2019,1-2019
11172,485,3,23,222.4,70,15568,3113.6,4912,18681.6,4,2019,4-2019
11173,148,2,19,339.53,58,19693,3938.6,4966,23631.6,11,2019,11-2019
11174,128,3,15,1590.64,11,17497,3499.4,6237,20996.4,7,2019,7-2019
11175,318,2,26,167.39,70,11717,2343.4,5185,14060.4,10,2018,10-2018
11176,387,1,20,588.63,24,14127,2825.4,5731,16952.4,3,2019,3-2019
11177,253,1,26,241.8,69,16684,3336.8,5519,20020.8,1,2019,1-2019
11178,165,2,13,219.75,63,13844,2768.8,6212,16612.8,11,2018,11-2018
11179,209,3,20,318.67,48,15296,3059.2,4776,18355.2,11,2019,11-2019
11180,530,1,15,596.95,19,11342,2268.4,6333,13610.4,11,2018,11-2018
11181,379,1,23,178.37,57,10167,2033.4,6258,12200.4,11,2019,11-2019
11182,257,1,19,999.35,20,19987,3997.4,6091,23984.4,9,2019,9-2019
11183,256,2,20,148.28,80,11862,2372.4,5947,14234.4,10,2019,10-2019
11184,199,3,19,287.31,68,19537,3907.4,6171,23444.4,6,2019,6-2019
11185,265,2,11,238.08,66,15713,3142.6,5467,18855.6,2,2019,2-2019
11186,230,1,24,348.47,49,17075,3415,4570,20490,6,2018,6-2018
